ID,Year,Name
14885.0,2015.0,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2
14884.0,2012.0,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue
14880.0,2013.0,D.C. III: Da Capo III
14879.0,2012.0,Combat Wings: The Great Battles of WWII
14864.0,2012.0,Capcom Digital Collection
14862.0,2015.0,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All
14860.0,2012.0,Little Busters! Converted Edition
14849.0,2012.0,Tokushu Houdoubu
14833.0,2014.0,Senran Kagura: Bon App̩tit!
14831.0,2015.0,Dream Girl Premier
14821.0,2013.0,Monster High 13 Wishes
14819.0,2014.0,The Legend of Korra (3DS)
14816.0,2015.0,Kisuato
14813.0,2015.0,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku
14806.0,2012.0,Touch Shot! Love Application
14795.0,2014.0,AMNESIA World
14773.0,2012.0,Brothers Conflict: Passion Pink
14769.0,2013.0,Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku
14760.0,2015.0,Let's Sing 2016
14757.0,2015.0,Xblaze: Lost Memories
14751.0,2012.0,Eureka Seven AO: Jungfrau no Hanabanatachi
14749.0,2012.0,Tiger & Bunny: On-Air Jack!
14745.0,2012.0,Jewel Quest 5: The Sleepless Star
14729.0,2012.0,Jewel Match 2
14702.0,2015.0,Gudetama: Hanjuku de Tanomuwa
14697.0,2013.0,Labyrinth Cross Blood: Infinity
14690.0,2013.0,Samurai Warriors 2
14688.0,2015.0,Harukanaru Toki no Naka de 6
14684.0,2012.0,Secrets of the Titanic
14681.0,2012.0,The IdolM@ster: Gravure For You! Vol. 6
14678.0,2012.0,Harukanaru Toki no Naka de 5: Kazahanaki
14661.0,2013.0,Kamigami no Asobi
14650.0,2015.0,Parfait
14649.0,2012.0,Botanicula
14634.0,2015.0,The Great Mystery Hidden Object Package 5
14628.0,2015.0,Romance of the Three Kingdoms II
14619.0,2015.0,New Tokyo Legacy: Operation Babel
14618.0,2014.0,Nisekoi: Yomeiri!?
14609.0,2012.0,Detective Opera: Milky Holmes 2
14604.0,2015.0,OZMAFIA!! -vivace-
14591.0,2013.0,Megpoid the Music#
14585.0,2014.0,HappinessCharge PreCure! Kawarun Collection
14584.0,2015.0,Higurashi no Naku Koro ni Iki
14579.0,2012.0,Heroes of Hellas 2: Olympia
14570.0,2012.0,Oumagatoki: Kaidan Romance
14562.0,2015.0,Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special
14557.0,2013.0,Beyblade Evolution
14552.0,2015.0,Phantasy Star Online 2: Episode 3 Deluxe Package
14548.0,2015.0,Kung Fu Panda: Showdown of Legendary Legends
14530.0,2013.0,Muv-Luv Alternative: Total Eclipse
14511.0,2012.0,The Idolmaster: Gravure For You! Vol. 5
14486.0,2014.0,Cabela's Big Game Hunter: Pro Hunts
14484.0,2014.0,Power Rangers Super Megaforce
14482.0,2015.0,The Peanuts Movie: Snoopy's Grand Adventure
14480.0,2015.0,Shantae and the Pirate's Curse
14473.0,2014.0,Great Edo Blacksmith
14470.0,2015.0,Langrisser: Re:Incarnation Tensei
14464.0,2015.0,Renai Revenge
14458.0,2012.0,Kyokugen Dasshutsu ADV: Zennin Shiboudesu
14444.0,2012.0,Jyuzaengi: Engetsu Sangokuden
14441.0,2015.0,Bad Apple Wars
14440.0,2015.0,Ebikore Photo Kano Kiss
14435.0,2015.0,Alia's Carnival! Sacrament
14428.0,2013.0,Renai 0 Kilometer
14406.0,2013.0,Darkstalkers Resurrection
14405.0,2012.0,Zero Escape: Virtue's Last Reward
14397.0,2015.0,Airship Q
14395.0,2014.0,Infinite Stratos 2: Ignition Hearts
14385.0,2015.0,Hakuoki Zuisouroku Omokage Hana
14382.0,2015.0,Medabots 9: Metabee / Rokusho
14378.0,2014.0,Hajime no Ippo: The Fighting! (2014)
14376.0,2013.0,Brothers Conflict: Brilliant Blue
14370.0,2013.0,Toaru Majutsu no Kagaku no Ensemble
14362.0,2015.0,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!
14361.0,2015.0,Gal Gun: Double Peace
14353.0,2015.0,A Good Librarian Like a Good Shepherd: Library Party
14351.0,2013.0,Sorcery Saga: The Curse of the Great Curry God
14343.0,2013.0,Exstetra
14333.0,2013.0,The Inner World
14328.0,2012.0,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai
14319.0,2013.0,Toriko: Ultimate Survival
14314.0,2012.0,Silverlicious
14312.0,2012.0,Captain Morgane and the Golden Turtle
14300.0,2012.0,Accel World: Ginyoku no Kakusei
14294.0,2015.0,Medarot 9: Kabuto Ver. / Kuwagata Ver.
14282.0,2013.0,Cooking Mama 5: Bon Appetit!
14279.0,2012.0,.hack: Sekai no Mukou ni + Versus
14277.0,2014.0,Living Legends: Frozen Beauty
14276.0,2012.0,Beyond the Labyrinth
14271.0,2015.0,YoKai Watch Dance: Just Dance Special Version
14262.0,2014.0,Toushin Toshi
14261.0,2013.0,Tamagotchi no Doki Doki Dream Omisecchi
14252.0,2012.0,The Binding of Isaac
14251.0,2015.0,Ukiyo no Shishi
14247.0,2015.0,Rugby League Live 3
14230.0,2015.0,JoJo's Bizarre Adventure: Eyes of Heaven
14228.0,2013.0,Yumi's Odd Odyssey
14215.0,2012.0,K-On! After School Live!! HD Ver.
14210.0,2014.0,Detective Conan: Phantom Rhapsody
14193.0,2013.0,Romance of the Three Kingdoms (3DS)
14177.0,2015.0,Diabolik Lovers: Dark Fate
14173.0,2015.0,Criminal Girls 2
14170.0,2012.0,Deer Drive: Legends
14158.0,2013.0,Clash of Elementalists
14156.0,2012.0,Mame Goma: Shiro to Kuro no Meikyuu
14147.0,2015.0,The Legend of Heroes: Trails in the Sky SC Evolution
14145.0,2012.0,Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou
14144.0,2014.0,Tour de France 2014
14128.0,2012.0,Even in a Game Listen to Me Girls. I Am Your Father!
14126.0,2014.0,Cooking Mama: My Sweets Shop
14117.0,2012.0,The Idolmaster: Gravure For You! Vol. 4
14110.0,2015.0,DoraMoji: Nobita no Kanji Daisakusen
14108.0,2013.0,Onechanbara Z Kagura
14103.0,2013.0,Turbo: Super Stunt Squad
14097.0,2014.0,Might & Magic X: Legacy
14093.0,2012.0,Sangoku Koi Senki: Otome no Heihou!
14085.0,2015.0,Assassin's Creed Chronicles: China
14055.0,2015.0,Nobunaga's Ambition II
14029.0,2012.0,Ailu de Puzzle
14026.0,2015.0,Ray Gigant
13992.0,2013.0,The Night of the Rabbit
13990.0,2012.0,Legasista
13979.0,2014.0,Super Hero Generation
13978.0,2013.0,Norn9: Norn + Nonette
13976.0,2012.0,Toki no Kizuna: Sekigahara Kitan
13957.0,2014.0,Ragnarok Odyssey
13938.0,2015.0,The Idolm@ster: Must Songs - Red Board / Blue Board
13933.0,2015.0,Corpse Party: Blood Covered - Repeated Fear
13932.0,2015.0,Train Simulator 2016
13924.0,2012.0,Ao no Exorcist: Genkoku no Labyrinth
13922.0,2012.0,Hunter x Hunter: Wonder Adventure
13918.0,2015.0,Civilization Beyond Earth: Rising Tide
13917.0,2012.0,Rabbids Land
13903.0,2012.0,Tokumei Sentai Go-Busters
13889.0,2015.0,Famicom Remix Best Choice
13869.0,2015.0,Paddington: Adventures in London
13866.0,2015.0,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden
13862.0,2012.0,Mobile Suit Gundam: Mokuba no Kiseki
13856.0,2015.0,Hyperdimension Neptunia Victory II
13840.0,2015.0,Yuki Yuna is a Hero: Memory of the Forest
13838.0,2015.0,The Sims 4: Spa Day
13822.0,2012.0,Time Travelers
13792.0,2013.0,Date A Live: Rine Utopia
13773.0,2014.0,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!
13762.0,2013.0,J.League Pro Soccer Club o Tsukurou! 8 Euro Plus
13761.0,2014.0,Infamous: First Light
13759.0,2012.0,Test Drive: Ferrari Legends
13748.0,2012.0,Sengoku Musou 3 Z Special
13733.0,2012.0,MLB 2K12 / NBA 2K12 Combo Pack
13732.0,2012.0,GoGo's Crazy Bones
13727.0,2012.0,Hanaoni: Yume no Tsudzuki
13719.0,2012.0,Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari
13707.0,2012.0,Shiren the Wanderer 4 - God's Eye and the Demon's Navel
13695.0,2012.0,Deadliest Warrior: Ancient Combat
13685.0,2012.0,Horses 3D
13655.0,2015.0,Gravity Falls: Legend of the Gnome Gemulets
13654.0,2013.0,Doki Doki! PreCure Narikiri Life!
13647.0,2012.0,Great Battle Full Blast
13634.0,2012.0,The Cube
13609.0,2013.0,Super Robot Taisen OG Infinite Battle
13600.0,2014.0,Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta
13590.0,2013.0,Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD
13567.0,2012.0,Mechanic Escape
13558.0,2012.0,Record of Agarest War: Marriage
13556.0,2015.0,Yowamushi Pedal
13546.0,2013.0,Painkiller: Hell & Damnation
13498.0,2013.0,Nobunaga's Ambition (3DS)
13486.0,2015.0,Exist Archive: The Other Side of the Sky
13477.0,2015.0,World Trigger: Borderless Mission
13475.0,2015.0,Atelier Escha & Logy: Alchemists of the Dusk Sky
13447.0,2014.0,Hakuouki SSL: Sweet School Life
13443.0,2013.0,LEGO Friends
13410.0,2014.0,Atelier Ayesha: The Alchemist of Dusk
13409.0,2014.0,Hero Bank 2
13404.0,2015.0,Tokyo Ghoul: Jail
13398.0,2012.0,Hakuouki: Bakumatsu Musou Roku
13393.0,2014.0,To Love-Ru Trouble Darkness: Battle Ecstasy
13375.0,2013.0,XBLAZE Code: Embryo
13363.0,2014.0,Shin Hayarigami
13356.0,2013.0,Fast & Furious: Showdown
13328.0,2013.0,Rain (2013)
13306.0,2013.0,Gaist Crusher
13287.0,2015.0,Saints Row: Gat out of Hell
13284.0,2012.0,Diabolik Lovers
13277.0,2013.0,Amnesia Crowd
13275.0,2013.0,Detective Conan: Marionette Symphony
13262.0,2015.0,Sword Art Online: Game Director's Edition
13228.0,2015.0,Downtown no Gaki no Tsukai Yaarahen de!! Zettai ni Tsukamatte Haikenai Gasu Kurobikari Land
13192.0,2012.0,QUIZ PARTY
13190.0,2012.0,G1 Grand Prix
13170.0,2013.0,Chousoku Henkei Gyrozetter: Albatross no Tsubasa
13159.0,2012.0,Nike+ Kinect Training
13157.0,2012.0,Guild 01
13133.0,2013.0,Atelier Rorona: Alchemist of Arland
