id_number,publisher_name,genre,global_sales
12962,D3Publisher,Role-Playing,0.05
12951,Atlus,Role-Playing,0.4
12950,Nordic Games,Role-Playing,0.34
12949,Namco Bandai Games,Shooter,0.05
12942,Tecmo Koei,Racing,0.09
12941,Namco Bandai Games,Action,0.05
12935,5pb,Adventure,0.07
12920,Tecmo Koei,Strategy,0.09
12919,Namco Bandai Games,Action,0.05
12918,FuRyu,Action,0.05
12916,Namco Bandai Games,Misc,0.05
12889,WayForward Technologies,Adventure,0.05
12861,Aksys Games,Action,0.05
12859,Kaga Create,Misc,0.05
12855,Sega,Misc,0.05
12832,Electronic Arts,Action,0.09
12824,Kadokawa Shoten,Adventure,0.05
12807,Tecmo Koei,Strategy,0.25
12802,Bigben Interactive,Sports,0.12
12784,Nordic Games,Sports,0.08
12767,DTP Entertainment,Adventure,0.06
12758,Namco Bandai Games,Action,0.06
12756,Kadokawa Shoten,Adventure,0.23
12749,Level 5,Role-Playing,0.06
12746,Sony Computer Entertainment,Adventure,0.06
12744,Idea Factory,Action,0.06
12731,Tecmo Koei,Action,0.06
12713,Square Enix,Role-Playing,0.06
12695,Deep Silver,Racing,0.11
12691,Tecmo Koei,Action,0.1
12681,Nippon Ichi Software,Adventure,0.06
12652,Namco Bandai Games,Role-Playing,0.06
12645,Rising Star Games,Puzzle,0.06
12640,Telltale Games,Adventure,0.17
12627,5pb,Action,0.16
12614,Marvelous Entertainment,Role-Playing,0.06
12612,Namco Bandai Games,Adventure,0.06
12610,Namco Bandai Games,Role-Playing,0.06
12604,Kadokawa Shoten,Role-Playing,0.06
12599,FuRyu,Action,0.06
12573,Capcom,Action,0.17
12562,Compile Heart,Role-Playing,0.06
12559,Take-Two Interactive,Fighting,0.64
12558,505 Games,Action,0.09
12541,Namco Bandai Games,Role-Playing,0.06
12522,Namco Bandai Games,Action,0.06
12520,Nihon Falcom Corporation,Role-Playing,0.26
12495,Namco Bandai Games,Action,0.06
12486,Namco Bandai Games,Action,0.06
12476,Namco Bandai Games,Strategy,0.06
12449,Deep Silver,Role-Playing,0.33
12439,Sega,Action,0.06
12433,Namco Bandai Games,Action,0.13
12428,Nintendo,Action,0.06
12423,Namco Bandai Games,Adventure,0.06
12413,Activision,Shooter,0.16
12407,ArtDink,Simulation,0.06
12400,Namco Bandai Games,Misc,0.06
12391,D3Publisher,Action,0.06
12375,Nintendo,Puzzle,0.07
12361,Namco Bandai Games,Action,0.06
12341,Sony Computer Entertainment,Action,0.79
12337,5pb,Adventure,0.08
