id_number,year_release,game_name
14319,2013,Toriko: Ultimate Survival
14314,2012,Silverlicious
14312,2012,Captain Morgane and the Golden Turtle
14300,2012,Accel World: Ginyoku no Kakusei
14294,2015,Medarot 9: Kabuto Ver. / Kuwagata Ver.
14282,2013,Cooking Mama 5: Bon Appetit!
14279,2012,.hack: Sekai no Mukou ni + Versus
14277,2014,Living Legends: Frozen Beauty
14276,2012,Beyond the Labyrinth
14271,2015,YoKai Watch Dance: Just Dance Special Version
14262,2014,Toushin Toshi
14261,2013,Tamagotchi no Doki Doki Dream Omisecchi
14252,2012,The Binding of Isaac
14251,2015,Ukiyo no Shishi
14247,2015,Rugby League Live 3
14230,2015,JoJo's Bizarre Adventure: Eyes of Heaven
14228,2013,Yumi's Odd Odyssey
14215,2012,K-On! After School Live!! HD Ver.
14210,2014,Detective Conan: Phantom Rhapsody
14193,2013,Romance of the Three Kingdoms (3DS)
14177,2015,Diabolik Lovers: Dark Fate
14173,2015,Criminal Girls 2
14170,2012,Deer Drive: Legends
14158,2013,Clash of Elementalists
14156,2012,Mame Goma: Shiro to Kuro no Meikyuu
14147,2015,The Legend of Heroes: Trails in the Sky SC Evolution
14145,2012,Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou
14144,2014,Tour de France 2014
14128,2012,Even in a Game Listen to Me Girls. I Am Your Father!
14126,2014,Cooking Mama: My Sweets Shop
14117,2012,The Idolmaster: Gravure For You! Vol. 4
14110,2015,DoraMoji: Nobita no Kanji Daisakusen
14108,2013,Onechanbara Z Kagura
14103,2013,Turbo: Super Stunt Squad
14097,2014,Might & Magic X: Legacy
14093,2012,Sangoku Koi Senki: Otome no Heihou!
14085,2015,Assassin's Creed Chronicles: China
14055,2015,Nobunaga's Ambition II
14029,2012,Ailu de Puzzle
14026,2015,Ray Gigant
13992,2013,The Night of the Rabbit
13990,2012,Legasista
13979,2014,Super Hero Generation
13978,2013,Norn9: Norn + Nonette
13976,2012,Toki no Kizuna: Sekigahara Kitan
13957,2014,Ragnarok Odyssey
13938,2015,The Idolm@ster: Must Songs - Red Board / Blue Board
13933,2015,Corpse Party: Blood Covered - Repeated Fear
13932,2015,Train Simulator 2016
13924,2012,Ao no Exorcist: Genkoku no Labyrinth
13922,2012,Hunter x Hunter: Wonder Adventure
13918,2015,Civilization Beyond Earth: Rising Tide
13917,2012,Rabbids Land
13903,2012,Tokumei Sentai Go-Busters
13889,2015,Famicom Remix Best Choice
13869,2015,Paddington: Adventures in London
13866,2015,Tsurugi no Machi no Ihoujin: Kuro no Kyuuden
13862,2012,Mobile Suit Gundam: Mokuba no Kiseki
13856,2015,Hyperdimension Neptunia Victory II
13840,2015,Yuki Yuna is a Hero: Memory of the Forest
13838,2015,The Sims 4: Spa Day
13822,2012,Time Travelers
13792,2013,Date A Live: Rine Utopia
13773,2014,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!
13762,2013,J.League Pro Soccer Club o Tsukurou! 8 Euro Plus
13761,2014,Infamous: First Light
13759,2012,Test Drive: Ferrari Legends
13748,2012,Sengoku Musou 3 Z Special
13733,2012,MLB 2K12 / NBA 2K12 Combo Pack
13732,2012,GoGo's Crazy Bones
13727,2012,Hanaoni: Yume no Tsudzuki
13719,2012,Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari
